"","waterbody_segment","pollutant_name","test_fraction","pollutant_group","n_samples","most_recent_sample_year","n_detects","most_recent_detect_year","n_sample_dates","n_ccc_exceedance","n_cmc_exceedance","n_d_exceedance","most_recent_ccc_exceedance_date","most_recent_ccc_exceedance_year","most_recent_cmc_exceedance_date","most_recent_cmc_exceedance_year","most_recent_d_exceedance_date","most_recent_d_exceedance_year","n_since_most_recent_ccc_exceedance","n_since_most_recent_cmc_exceedance","n_since_most_recent_d_exceedance","n_samples_2011_to_2021","most_recent_sample_2011_to_2021","n_detects_2011_to_2021","most_recent_detect_2011_to_2021","n_ccc_exceedance_2011_to_2021","n_cmc_exceedance_2011_to_2021","n_d_exceedance_2011_to_2021","n_samples_2016_to_2021","most_recent_sample_2016_to_2021","n_detects_2016_to_2021","most_recent_detect_2016_to_2021","n_ccc_exceedance_2016_to_2021","n_cmc_exceedance_2016_to_2021","n_d_exceedance_2016_to_2021","current_category","ccc_dl_ratio","cmc_dl_ratio","d_dl_ratio","decision_case_number"
"381","PINEY BRANCH","CHRYSENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"382","POPE BRANCH","CHRYSENE",NA,"PAH2",7,2019,1,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,1,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a","NA","NA","less than 1",3
"383","PORTAL BRANCH","CHRYSENE",NA,"PAH2",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"384","POTOMAC LOWER","CHRYSENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","less than 1",15
"385","POTOMAC MIDDLE","CHRYSENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",0,0,10,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","less than 1",14
"386","POTOMAC UPPER","CHRYSENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","less than 1",14
"387","ROCK CREEK LOWER","CHRYSENE",NA,"PAH2",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",0,0,11,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","less than 1",14
"388","SOAPSTONE CREEK","CHRYSENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"389","TEXAS AVENUE TRIBUTARY","CHRYSENE",NA,"PAH2",6,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,6,2019,1,"Never",0,0,1,3,2019,0,"Never",0,0,0,"4a","NA","NA","less than 1",1
"390","TIDAL BASIN","CHRYSENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"391","WASHINGTON SHIP CHANNEL","CHRYSENE",NA,"PAH2",19,2016,2,"2016",7,0,0,1,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,2,"Never",0,0,1,12,2016,2,"Never",0,0,1,"3","NA","NA","less than 1",7
"392","WATTS BRANCH LOWER","CHRYSENE",NA,"PAH2",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","less than 1",8
"393","WATTS BRANCH UPPER","CHRYSENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","less than 1",10
"394","ANACOSTIA LOWER","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",52,2021,1,"2016",24,0,0,1,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,52,2021,1,"Never",0,0,1,40,2021,1,"Never",0,0,1,"4a","NA","NA","greater than 1",1
"395","ANACOSTIA UPPER","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",56,2019,1,"2016",14,0,0,1,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,28,56,2019,1,"Never",0,0,1,37,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1",1
"396","BROAD BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1",15
"397","DALECARLIA TRIBUTARY","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"398","DUMBARTON OAKS","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",15,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"399","FENWICK BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"400","FORT DUPONT TRIBUTARY","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1",15
"401","FORT STANTON TRIBUTARY","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",20,2021,0,"Never",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,0,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","NA","NA","greater than 1",2
"402","HICKEY RUN","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",2
"403","KINGMAN LAKE","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",25,2019,1,"2016",13,0,0,1,NA,"Never",NA,"Never",2016-06-15,"2016",0,0,15,25,2019,1,"Never",0,0,1,15,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",1
"404","KLINGLE VALLEY","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"405","LUZON BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"406","MELVIN HAZEN VALLEY BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"407","NASH RUN","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",7,2019,1,"2018",6,0,0,1,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,1,"Never",0,0,1,3,2019,1,"Never",0,0,1,"4a","NA","NA","greater than 1",1
"408","NORMANSTONE CREEK","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","NA","NA","greater than 1",15
"409","OXON RUN","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"410","PINEHURST BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"411","PINEY BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"412","POPE BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,4,7,2019,1,"Never",0,0,1,4,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",1
"413","PORTAL BRANCH","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"414","POTOMAC LOWER","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","NA","NA","greater than 1",15
"415","POTOMAC MIDDLE","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-08-18,"2020",0,0,10,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"416","POTOMAC UPPER","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"417","ROCK CREEK LOWER","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-07-09,"2020",0,0,11,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","NA","NA","greater than 1",14
"418","SOAPSTONE CREEK","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"419","TEXAS AVENUE TRIBUTARY","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",6,2019,0,"Never",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","NA","NA","greater than 1",2
"420","TIDAL BASIN","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"421","WASHINGTON SHIP CHANNEL","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",19,2016,2,"2016",7,0,0,2,NA,"Never",NA,"Never",2016-10-05,"2016",0,0,4,19,2016,2,"Never",0,0,2,12,2016,2,"Never",0,0,2,"3","NA","NA","greater than 1",7
"422","WATTS BRANCH LOWER","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","NA","NA","greater than 1",8
"423","WATTS BRANCH UPPER","DIBENZO_A_H_ANTHRACENE",NA,"PAH3",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","NA","NA","greater than 1",9
"424","ANACOSTIA LOWER","DIELDRIN",NA,"DIELDRIN",52,2021,2,"2021",24,0,0,2,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,52,2021,2,"Never",0,0,2,40,2021,2,"Never",0,0,2,"4a","less than 1","less than 1","greater than 1",1
"425","ANACOSTIA UPPER","DIELDRIN",NA,"DIELDRIN",105,2019,38,"2019",17,0,0,38,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,105,2019,38,"Never",0,0,38,86,2019,38,"Never",0,0,38,"4a","less than 1","less than 1","greater than 1",1
"426","BROAD BRANCH","DIELDRIN",NA,"DIELDRIN",14,2021,9,"2021",14,0,0,9,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,14,2021,9,"Never",0,0,9,13,2021,8,"Never",0,0,8,"4a","less than 1","less than 1","greater than 1",1
"427","DALECARLIA TRIBUTARY","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"428","DUMBARTON OAKS","DIELDRIN",NA,"DIELDRIN",15,2021,14,"2021",14,0,0,14,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,15,2021,14,"Never",0,0,14,13,2021,12,"Never",0,0,12,"4a","less than 1","less than 1","greater than 1",1
"429","FENWICK BRANCH","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"430","FORT DUPONT TRIBUTARY","DIELDRIN",NA,"DIELDRIN",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"431","FORT STANTON TRIBUTARY","DIELDRIN",NA,"DIELDRIN",17,2021,0,"Never",16,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,17,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","less than 1","greater than 1",15
"432","HICKEY RUN","DIELDRIN",NA,"DIELDRIN",6,2019,0,"Never",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,0,"Never",0,0,0,3,2019,0,"Never",0,0,0,"3","less than 1","less than 1","greater than 1",9
"433","KINGMAN LAKE","DIELDRIN",NA,"DIELDRIN",25,2019,2,"2018",13,0,0,2,NA,"Never",NA,"Never",2018-08-30,"2018",0,0,2,25,2019,2,"Never",0,0,2,15,2019,2,"Never",0,0,2,"3","less than 1","less than 1","greater than 1",7
"434","KLINGLE VALLEY","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"435","LUZON BRANCH","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"436","MELVIN HAZEN VALLEY BRANCH","DIELDRIN",NA,"DIELDRIN",14,2021,9,"2021",14,0,0,9,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,14,2021,9,"Never",0,0,9,13,2021,8,"Never",0,0,8,"4a","less than 1","less than 1","greater than 1",1
"437","NASH RUN","DIELDRIN",NA,"DIELDRIN",7,2019,1,"2014",6,0,0,1,NA,"Never",NA,"Never",2014-01-12,"2014",0,0,3,7,2019,1,"Never",0,0,1,3,2019,0,"Never",0,0,0,"4a","less than 1","less than 1","greater than 1",1
"438","NORMANSTONE CREEK","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"439","OXON RUN","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"440","PINEHURST BRANCH","DIELDRIN",NA,"DIELDRIN",2,2013,2,"2013",2,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"441","PINEY BRANCH","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"442","POPE BRANCH","DIELDRIN",NA,"DIELDRIN",7,2019,2,"2018",6,0,0,2,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,7,2019,2,"Never",0,0,2,4,2019,2,"Never",0,0,2,"3","less than 1","less than 1","greater than 1",7
"443","PORTAL BRANCH","DIELDRIN",NA,"DIELDRIN",2,2013,2,"2013",1,0,0,2,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,2,2013,2,"Never",0,0,2,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"444","POTOMAC LOWER","DIELDRIN",NA,"DIELDRIN",13,2021,1,"2020",13,0,0,1,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","less than 1","less than 1","greater than 1",14
"445","POTOMAC MIDDLE","DIELDRIN",NA,"DIELDRIN",13,2021,2,"2020",13,0,0,2,NA,"Never",NA,"Never",2020-09-11,"2020",0,0,9,13,2021,2,"Never",0,0,2,13,2021,2,"Never",0,0,2,"Not Listed","less than 1","less than 1","greater than 1",14
"446","POTOMAC UPPER","DIELDRIN",NA,"DIELDRIN",13,2021,1,"2021",13,0,0,1,NA,"Never",NA,"Never",2021-06-16,"2021",0,0,0,13,2021,1,"Never",0,0,1,13,2021,1,"Never",0,0,1,"Not Listed","less than 1","less than 1","greater than 1",14
"447","ROCK CREEK LOWER","DIELDRIN",NA,"DIELDRIN",14,2021,5,"2021",14,0,0,5,NA,"Never",NA,"Never",2021-03-17,"2021",0,0,3,13,2021,5,"Never",0,0,5,13,2021,5,"Never",0,0,5,"Not Listed","less than 1","less than 1","greater than 1",14
"448","ROCK CREEK UPPER","DIELDRIN",NA,"DIELDRIN",19,2000,0,"Never",18,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",2
"449","SOAPSTONE CREEK","DIELDRIN",NA,"DIELDRIN",1,2013,1,"2013",1,0,0,1,NA,"Never",NA,"Never",2013-10-29,"2013",0,0,0,1,2013,1,"Never",0,0,1,0,NA,NA,NA,NA,NA,NA,"4a","less than 1","less than 1","greater than 1",1
"450","TEXAS AVENUE TRIBUTARY","DIELDRIN",NA,"DIELDRIN",6,2019,5,"2018",6,0,0,5,NA,"Never",NA,"Never",2018-10-12,"2018",0,0,1,6,2019,5,"Never",0,0,5,3,2019,2,"Never",0,0,2,"4a","less than 1","less than 1","greater than 1",1
"451","TIDAL BASIN","DIELDRIN",NA,"DIELDRIN",3,2014,0,"Never",3,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,3,2014,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","less than 1","greater than 1",8
"452","WASHINGTON SHIP CHANNEL","DIELDRIN",NA,"DIELDRIN",19,2016,0,"Never",7,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,19,2016,0,"Never",0,0,0,12,2016,0,"Never",0,0,0,"3","less than 1","less than 1","greater than 1",9
"453","WATTS BRANCH LOWER","DIELDRIN",NA,"DIELDRIN",7,2019,4,"2019",6,0,0,4,NA,"Never",NA,"Never",2019-06-11,"2019",0,0,0,7,2019,4,"Never",0,0,4,4,2019,2,"Never",0,0,2,"4a","less than 1","less than 1","greater than 1",1
"454","WATTS BRANCH UPPER","DIELDRIN",NA,"DIELDRIN",13,2021,4,"2021",13,0,0,4,NA,"Never",NA,"Never",2021-06-17,"2021",0,0,0,13,2021,4,"Never",0,0,4,13,2021,4,"Never",0,0,4,"4a","less than 1","less than 1","greater than 1",1
"455","ANACOSTIA LOWER","FLUORANTHENE",NA,"PAH2",52,2021,16,"2016",24,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,52,2021,16,"Never",0,0,0,40,2021,10,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"456","ANACOSTIA UPPER","FLUORANTHENE",NA,"PAH2",56,2019,31,"2016",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,56,2019,31,"Never",0,0,0,37,2019,13,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"457","BROAD BRANCH","FLUORANTHENE",NA,"PAH2",15,2021,0,"Never",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"458","DALECARLIA TRIBUTARY","FLUORANTHENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"459","DUMBARTON OAKS","FLUORANTHENE",NA,"PAH2",16,2021,1,"2020",15,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,15,2021,1,"Never",0,0,0,13,2021,1,"Never",0,0,0,"3","less than 1","NA","less than 1",10
"460","FENWICK BRANCH","FLUORANTHENE",NA,"PAH2",2,2013,1,"2007",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"461","FORT DUPONT TRIBUTARY","FLUORANTHENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"462","FORT STANTON TRIBUTARY","FLUORANTHENE",NA,"PAH2",20,2021,2,"2014",19,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,20,2021,2,"Never",0,0,0,16,2021,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"463","HICKEY RUN","FLUORANTHENE",NA,"PAH2",6,2019,2,"2014",5,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,6,2019,2,"Never",0,0,0,3,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"464","KINGMAN LAKE","FLUORANTHENE",NA,"PAH2",25,2019,14,"2016",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,25,2019,14,"Never",0,0,0,15,2019,7,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"465","KLINGLE VALLEY","FLUORANTHENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"466","LUZON BRANCH","FLUORANTHENE",NA,"PAH2",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"467","MELVIN HAZEN VALLEY BRANCH","FLUORANTHENE",NA,"PAH2",14,2021,0,"Never",14,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,14,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"3","less than 1","NA","less than 1",10
"468","NASH RUN","FLUORANTHENE",NA,"PAH2",7,2019,4,"2018",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,4,"Never",0,0,0,3,2019,1,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"469","NORMANSTONE CREEK","FLUORANTHENE",NA,"PAH2",2,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"Not Listed","less than 1","NA","less than 1",15
"470","OXON RUN","FLUORANTHENE",NA,"PAH2",1,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"471","PINEHURST BRANCH","FLUORANTHENE",NA,"PAH2",4,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"472","PINEY BRANCH","FLUORANTHENE",NA,"PAH2",3,2013,0,"Never",2,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,1,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"473","POPE BRANCH","FLUORANTHENE",NA,"PAH2",7,2019,1,"2014",6,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,7,2019,1,"Never",0,0,0,4,2019,0,"Never",0,0,0,"4a","less than 1","NA","less than 1",3
"474","PORTAL BRANCH","FLUORANTHENE",NA,"PAH2",2,2013,0,"Never",1,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,2,2013,0,"Never",0,0,0,0,NA,NA,NA,NA,NA,NA,"3","less than 1","NA","less than 1",8
"475","POTOMAC LOWER","FLUORANTHENE",NA,"PAH2",13,2021,0,"Never",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,0,"Never",0,0,0,13,2021,0,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
"476","POTOMAC MIDDLE","FLUORANTHENE",NA,"PAH2",13,2021,1,"2020",13,0,0,0,NA,"Never",NA,"Never",NA,"Never",0,0,0,13,2021,1,"Never",0,0,0,13,2021,1,"Never",0,0,0,"Not Listed","less than 1","NA","less than 1",15
